#<lower left points><upper right points>
(0.209737,0.835009)	(0.299444,0.838589)
(0.209737,0.874652)	(0.244338,0.878296)
(0.135477,0.874652)	(0.209737,0.885854)
(0.972475,0.938219)	(1,0.939359)
(0.972475,0.939359)	(1,1)
(0.940144,0.939359)	(0.972475,1)
(0.487151,0.960473)	(0.491559,0.965879)
(0.487151,0.995494)	(0.863481,1)
(0.396283,0.995494)	(0.487151,1)
(0.089471,0)	(0.0962466,0.0835266)
(0.089471,0.0835266)	(0.0935087,0.153904)
(0.0882956,0.0835266)	(0.089471,0.34875)
(0.601818,0.362887)	(0.611317,0.367593)
(0.601818,0.367593)	(0.611317,0.41528)
(0.593291,0.367593)	(0.601818,0.41528)
(0.131021,0)	(0.132503,0.329017)
(0.131021,0.3925)	(0.131532,0.427142)
(0.123333,0.3925)	(0.131021,0.67165)
(0.805131,0.289607)	(0.846812,0.29609)
(0.805131,0.318201)	(0.813472,0.321535)
(0.758043,0.318201)	(0.762804,0.321263)
(0.613157,0.0791695)	(0.62686,0.0902256)
(0.613157,0.112933)	(0.643629,0.116884)
(0.607001,0.112933)	(0.611375,0.256022)
(0.553338,0.49339)	(0.577646,0.510127)
(0.553338,0.584615)	(0.573731,0.59711)
(0.550118,0.584615)	(0.553338,0.607798)
(0.936615,0.661681)	(1,0.701968)
(0.936615,0.701968)	(0.957393,0.723644)
(0.624466,0.701968)	(0.639738,0.733621)
(0.330157,0.677642)	(0.339543,0.749383)
(0.330157,0.796041)	(0.338144,0.81249)
(0.298338,0.796041)	(0.326373,0.808572)
(0.999686,0.402864)	(1,0.449858)
(0.999686,0.449858)	(1,0.661681)
(0.951503,0.449858)	(0.971242,0.61074)
(0.0269248,0.407478)	(0.0562789,0.409709)
(0.0269248,0.429362)	(0.0594368,0.463093)
(0.00469314,0.429362)	(0.0236277,0.440988)
(0.418019,0.840727)	(0.47276,0.844716)
(0.418019,0.850416)	(0.45762,0.850453)
(0.329787,0.850416)	(0.399136,0.861901)
(0.339543,0.677642)	(0.374064,0.749383)
(0.339543,0.749383)	(0.340147,0.762717)
(0.330157,0.749383)	(0.339543,0.796041)
(0.137061,0.0302121)	(0.143818,0.351008)
(0.137061,0.351008)	(0.13725,0.566149)
(0.135477,0.351008)	(0.135809,0.800484)
(0.215759,0.0302121)	(0.229231,0.0309624)
(0.215759,0.0982663)	(0.216267,0.147757)
(0.201334,0.0982663)	(0.21568,0.180582)
(0.648779,0.840727)	(0.67413,0.85749)
(0.648779,0.867193)	(0.676197,0.870947)
(0.586032,0.867193)	(0.648779,0.875132)
(0.643629,0.112933)	(0.644924,0.116884)
(0.643629,0.116884)	(0.644924,0.331631)
(0.613157,0.116884)	(0.632911,0.242033)
(0.0661527,0.147991)	(0.0704083,0.185806)
(0.0661527,0.23305)	(0.0818428,0.319393)
(0,0.23305)	(0.00799558,0.270061)
(0.734107,0.785653)	(0.757032,0.819665)
(0.734107,0.822427)	(0.843893,0.82781)
(0.624466,0.822427)	(0.734107,0.829064)
(0.762621,0.333264)	(0.897475,0.333389)
(0.762621,0.333389)	(0.771055,0.343666)
(0.626698,0.333389)	(0.635572,0.360754)
(0.0247224,0)	(0.0366124,0.00715455)
(0.0247224,0.0146065)	(0.0651215,0.0166903)
(0,0.0146065)	(0.00456597,0.0787885)
(0.23146,0.257778)	(0.247494,0.309519)
(0.23146,0.558389)	(0.232435,0.59789)
(0.201334,0.558389)	(0.228566,0.614083)
(0.479047,0.661681)	(0.529875,0.68308)
(0.479047,0.713639)	(0.49255,0.717747)
(0.375423,0.713639)	(0.420924,0.756362)
(0.69546,0.411504)	(0.74507,0.422431)
(0.69546,0.444383)	(0.761769,0.449827)
(0.626698,0.444383)	(0.69546,0.49339)
(0.877727,0.057943)	(0.88869,0.0653725)
(0.877727,0.137557)	(0.890821,0.226429)
